updated_at,bim360_account_id,bim360_project_id,id,template_id,layout_uid
2025-10-22 03:14:29.000238,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,07246106-dd72-4e34-b2e0-f2c6265ae286,7490afc6-bed4-4562-9fa3-b799bd539fe6,
2025-10-20 02:32:51.135379,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,7490afc6-bed4-4562-9fa3-b799bd539fe6,,4bc34920-6959-4c1c-8f4a-bbb976f62fb0
2025-10-22 03:11:47.264321,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,9a2b5638-0d02-496e-baa9-5575206cddb9,7490afc6-bed4-4562-9fa3-b799bd539fe6,
