bim360_account_id,bim360_project_id,markup_uid,surface_uid,published,layer_uid,id,uid,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,placement_text
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,cccfb8d3-6519-482e-8844-4b65865bdcbd,31b239c5-b3af-57d9-91d4-2a3a96ac5994,t,60b9c232-98ff-404a-b7d2-0669e60e7785,1267165850,cccfb8d3-6519-482e-8844-4b65865bdcbd,QT725AZVMVUKV69K,2025-10-22 03:05:44.115755,QT725AZVMVUKV69K,2025-10-22 03:05:44.115755,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,ba82018a-b232-4d76-8c47-c06e2f7e538c,7d70b9ae-4014-54a4-8a5e-29813b078f2a,t,e4fa5c41-5942-4154-ac6a-e3e7c6ca513a,1267320800,ba82018a-b232-4d76-8c47-c06e2f7e538c,QT725AZVMVUKV69K,2025-10-22 07:22:13.189891,QT725AZVMVUKV69K,2025-10-22 07:22:13.189891,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,228327cc-0d10-48d3-b766-6e5722ac33ba,52b52e84-43c2-56be-a445-d4d2c3104b6e,t,b2c4b519-85ed-4e6c-94c4-10898e3dcb1e,1267479228,228327cc-0d10-48d3-b766-6e5722ac33ba,QT725AZVMVUKV69K,2025-10-22 10:25:50.347736,QT725AZVMVUKV69K,2025-10-22 10:25:50.347736,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,6e9ab1e9-7f1b-46e6-9d84-b408877460b7,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,t,ca43f113-8422-425c-8ffb-5da929330157,1267495554,6e9ab1e9-7f1b-46e6-9d84-b408877460b7,QT725AZVMVUKV69K,2025-10-22 10:37:57.709965,QT725AZVMVUKV69K,2025-10-23 01:49:26.707447,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,dea00930-a30e-49ab-9db4-f0aa1913db29,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,t,ca43f113-8422-425c-8ffb-5da929330157,1267484672,dea00930-a30e-49ab-9db4-f0aa1913db29,QT725AZVMVUKV69K,2025-10-22 10:28:32.970885,QT725AZVMVUKV69K,2025-10-23 01:49:26.707447,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,d8910463-aade-4606-bfb1-a249703a2ce9,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,t,ca43f113-8422-425c-8ffb-5da929330157,1271281414,d8910463-aade-4606-bfb1-a249703a2ce9,QT725AZVMVUKV69K,2025-10-23 04:58:05.11957,QT725AZVMVUKV69K,2025-10-23 04:58:06.834036,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,209119e8-ae21-48e5-a9e0-eb5418e2300a,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,f,ca43f113-8422-425c-8ffb-5da929330157,1271281392,209119e8-ae21-48e5-a9e0-eb5418e2300a,QT725AZVMVUKV69K,2025-10-23 04:57:55.424224,QT725AZVMVUKV69K,2025-10-23 04:57:55.424224,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,783ce032-823a-427a-958e-a44b35b33643,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,f,ca43f113-8422-425c-8ffb-5da929330157,1271281394,783ce032-823a-427a-958e-a44b35b33643,QT725AZVMVUKV69K,2025-10-23 04:57:55.741783,QT725AZVMVUKV69K,2025-10-23 04:57:55.741783,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,1d2b5897-bf4e-4076-a53b-f9cc31c7dc3c,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,f,ca43f113-8422-425c-8ffb-5da929330157,1271281395,1d2b5897-bf4e-4076-a53b-f9cc31c7dc3c,QT725AZVMVUKV69K,2025-10-23 04:57:56.043194,QT725AZVMVUKV69K,2025-10-23 04:57:56.043194,f,,,
1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,737ef27b-8f74-4063-a4fd-84ce48ba2c62,ecf5bcea-c3ce-5cf2-865b-0f854083aeb8,t,ca43f113-8422-425c-8ffb-5da929330157,1271281581,737ef27b-8f74-4063-a4fd-84ce48ba2c62,QT725AZVMVUKV69K,2025-10-23 04:58:38.104675,QT725AZVMVUKV69K,2025-10-23 04:58:41.00175,f,,,
