id,bim360_account_id,bim360_project_id,form_id,attachment_id,attachment_type,item_urn,is_deleted,updated_by,created_by,created_at,updated_at
4a45f4d3-5873-49f9-bea4-f7a69fda7907,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,8758c0dd-8e5e-4240-a014-5f97b37ab0ac,4a45f4d3-5873-49f9-bea4-f7a69fda7907,form,urn:adsk.wipprod:dm.lineage:gCBGxZWISSSyj5A8injb1A,f,QT725AZVMVUKV69K,QT725AZVMVUKV69K,2025-10-22 03:12:15,2025-10-22 03:12:15
4ac8891e-a0e8-4b67-84a9-d640573265a6,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,8758c0dd-8e5e-4240-a014-5f97b37ab0ac,4ac8891e-a0e8-4b67-84a9-d640573265a6,form,urn:adsk.wipprod:dm.lineage:U9GG7yyQTUq_0rSNoj7lew,t,QT725AZVMVUKV69K,QT725AZVMVUKV69K,2025-10-22 03:12:14,2025-10-22 03:12:24
1f403c9e-9f5a-40fc-a92c-dd3da41f45fa,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,ba5879e3-32a1-43a9-af91-45f9634e88e1,1f403c9e-9f5a-40fc-a92c-dd3da41f45fa,form,urn:adsk.wipprod:dm.lineage:-NB8g24pTnaJYGMfYLwcgQ,f,QT725AZVMVUKV69K,QT725AZVMVUKV69K,2025-10-22 03:13:37,2025-10-22 03:13:37
